,Company,Company LinkedIn,Company Location (State),Employee Size,Industry,Phone,Revenue,Website
284,AMERICAN EXPEDITION VEHICLES,,Michigan,69,Automotive,,25000000,aev-conversions.com
286,"AMERICAN FREIGHT FURNITURE, MATTRESS, APPLIANCE",,,"1,001-5,000",Furniture and Home Furnishings Manufacturing,,$292.3M,https://www.americanfreight.com/
288,AMERICAN GIRL,,,"1,001-5,000",Manufacturing,,231.5M,http://www.americangirl.com
290,AMERICAN HEALTH PACKAGING,,,201-500,Pharmaceutical Manufacturing,,40M,http://www.americanhealthpackaging.com/
292,AMERICAN LICORICE COMPANY,,Indiana,270,Mechanical Or Industrial Engineering,,260000000,americanlicorice.com
298,AMERICAN ORTHODONTICS,,,"501-1,000",Medical Equipment Manufacturing,,85M,http://www.americanortho.com
305,AMERICAN PACKAGING CORPORATION,,,"1,001-5,000",Packaging and Containers Manufacturing,,450M,http://www.americanpackaging.com
308,"AMERICAN PHOENIX, INC.",,,"501-1,000",Chemical Manufacturing,,$77.7M,http://www.apimix.net
312,AMERICAN TEXTILE,,,"1,001-5,000",Textile Manufacturing,,$217.3M,http://www.americantextile.com
314,AMERICAN TIME,,Minnesota,89,electrical/electronic manufacturing,,$25.0M,american-time.com
316,AMERICAN TRIM,,,"501-1,000",Manufacturing,,250M,http://www.amtrim.com
318,AMERICAN WIRE GROUP,,,64,electrical/electronic manufacturing,,150000000,http://www.buyawg.com
320,AMERICHEM,,,"501-1,000",Plastics Manufacturing,,350M,http://www.americhem.com
327,AMETEK ENGINEERED MEDICAL COMPONENTS (EMC),,Minnesota,86,medical devices,,28600000,ametekemc.com
329,AMETEK SOLIDSTATE CONTROLS,,,110,electrical/electronic manufacturing,,30000000,http://www.solidstatecontrolsinc.com
333,AMPHENOL BORISCH,,,51-200,Defense and Space Manufacturing,,50M,http://www.borisch.com
335,AMPHENOL BORISCH TECHNOLOGIES,,Michigan,250,Defense & Space,,50000000,borisch.com
348,AMX,,,150,logistics & supply chain,,45046000,http://www.amxtrucking.com
352,ANCHOR HOCKING,,,450,Consumer Goods,,300000000,http://www.anchorhocking.com
357,ANCHOR MANUFACTURING GROUP,,,201-500,Motor Vehicle Manufacturing,,54.8M,http://www.anchor-mfg.com
359,ANCILLARE,,,51-200,Pharmaceutical Manufacturing,,59M,http://www.ancillare.com
367,ANDERSON DEVELOPMENT,,,51-200,Chemical Manufacturing,,50M,http://www.andersondevelopment.com
369,ANDERSON DEVELOPMENT COMPANY,,,94,Chemical Manufacturing,,50000000,andersondevelopment.com
371,ANDIS COMPANY,,,"501-1,000",Manufacturing,,$108.6M,http://www.andis.com
378,ANDROID INDUSTRIES,,Michigan,1600,Automotive,,44354000,android-ind.com
380,"ANGI ENERGY SYSTEMS, LLC",,,201-500,Industrial Machinery Manufacturing,,$61.3M,http://www.angienergy.com
382,ANGSTROM,,,51-200,Automotive,,53.7M,http://www.angstrom-usa.com
384,ANOMATIC,,,"501-1,000",Packaging and Containers Manufacturing,,75M,http://www.anomatic.com/
390,APA SOLAR RACKING,,,51-200,Renewable Energy Semiconductor Manufacturing,,55.4M,http://www.apasolar.com
393,APACHE STAINLESS EQUIPMENT CORPORATION AND MEPACO,,,51-200,Industrial Machinery Manufacturing,,$34.9M,http://www.apachestainless.com
395,"APEX INTERNATIONAL MFG, INC.",,,150,Mechanical Or Industrial Engineering,,63800000,trustapexinternational.com
399,APOLLO RETAIL SPECIALISTS,,,1100,Retail,,135000000,http://www.apolloretail.com
404,APPLIED MEDICAL TECHNOLOGY,,,201-500,Medical Equipment Manufacturing,,39M,http://www.appliedmedical.net
406,APPVION,,Wisconsin,660,paper & forest products,,246600000,appvion.com
408,APRECIA PHARMACEUTICALS,,,51-200,Pharmaceutical Manufacturing,,30.5M,https://www.aprecia.com
410,APRILAIRE,,Wisconsin,420,Mechanical Or Industrial Engineering,,54700000,aprilaire.com
419,ARANDELL,,,"501-1,000",Printing Services,,103M,https://www.arandell.com
423,ARISTO INDUSTRIES,,Michigan,71,Packaging & Containers,,$121.3M,aristoind.com
425,ARKRAY USA,,,154,medical devices,,40700000,arkrayusa.com
427,ARLINGTON INDUSTRIES,,,79,"Appliances, Electrical, and Electronics Manufacturing",,208400000,aifittings.com
431,ARROW INTERNATIONAL,,,"1,001-5,000",Manufacturing,,80M,http://www.arrowinternational.com
434,ARROW PACKAGING SOLUTIONS / ARROW CONTAINER,,Indiana,91,Packaging & Containers,,35600000,arrowpackagingsolutions.com
436,ARROW TANK AND ENGINEERING CO.,,,55,machinery,,25996000,arrowtank.com
438,ARROWHEAD ENGINEERED PRODUCTS,,Minnesota,1100,Automotive,,150000000,arrowheadepinc.com
440,ARTEZA,,,120,Retail,,55000000,http://www.arteza.com
442,ARTIFLEX MANUFACTURING,,,"501-1,000",Motor Vehicle Manufacturing,,250.5M,http://www.artiflexmfg.com/
445,ARVCO CONTAINER CORP.,,Michigan,97,Packaging & Containers,,$26.4M,arvco.com
447,ASAHI KASEI PLASTICS,,,201-500,Plastics Manufacturing,,188.4M,http://www.akplastics.com
449,ASCEND,,,410,logistics & supply chain,,75000000,http://www.driveforascend.com
451,ASCENT AEROSPACE,,,"501-1,000",Aviation and Aerospace Component Manufacturing,,290M,http://www.ascentaerospace.com
460,ASHLEY WARD,,,201-500,Manufacturing,,42.1M,http://www.ashleyward.com
464,ASPEN SURGICAL,,,"1,001-5,000",Medical Equipment Manufacturing,,120M,http://www.aspensurgical.com/
467,ASPHALT MATERIALS,,Indiana,160,Construction,,$497.6M,asphalt-materials.com
470,ASSOCIATED GROCERS OF THE SOUTH,,,59,Retail,,374000000,http://www.agsouth.com
474,ASTRONAUTICS CORPORATION OF AMERICA,,,"501-1,000",Aviation and Aerospace Component Manufacturing,,217.9M,http://www.astronautics.com
478,ATC TRAILERS,,Indiana,150,Automotive,,46772000,atctrailers.com
480,ATCO INDUSTRIES,,,"1,001-5,000",Motor Vehicle Manufacturing,,40M,http://www.atcoindustries.com
485,"ATKINS & PEARCE, INC.",,Kentucky,500,textiles,,70267000,atkinsandpearce.com
489,ATLAS MFG.,,Minnesota,92,machinery,,63000000,atlasmfg.com
491,ATMOSPHERE COMMERCIAL INTERIORS,,,310,Office Furniture and Fixtures Manufacturing,,45000000,atmosphereci.com
493,ATOS MEDICAL,,Wisconsin,120,medical devices,,91200000,atosmedical.us
495,ATRICURE,,,"501-1,000",Medical Equipment Manufacturing,,330.4M,http://www.atricure.com
502,AUDIO-TECHNICA,,,310,electrical/electronic manufacturing,,30000000,http://www.audio-technica.com
504,AURORA PLASTICS,,,201-500,Plastics Manufacturing,,44.1M,http://www.auroraplastics.com
514,AUTOCAM MEDICAL,,,"501-1,000",Medical Equipment Manufacturing,,19M,http://www.autocam-medical.com
516,AUTOCAR TRUCKS,,Alabama,490,Automotive,,200000000,autocartruck.com
518,AUTODIE,,,201-500,Industrial Machinery Manufacturing,,40000000,http://www.autodie-llc.com
520,AUTOMATIC SPRING PRODUCTS CORP.,,,201-500,Industrial Machinery Manufacturing,,42079000,http://www.automaticspring.com
523,AUTO-WARES,,,"1,001-5,000",Motor Vehicle Manufacturing,,75M,http://www.autowares.com
525,AVANCEON,,,51-200,Automation Machinery Manufacturing,,$54.3M,http://www.avanceon.com
530,AVEKA,,,86,Chemical Manufacturing,,35000000,aveka.com
532,AVID INTERNATIONAL MOLDING SOLUTIONS,,Minnesota,63,plastics,,$53.0M,avidims.com
536,AVTRON POWER SOLUTIONS,,,69,electrical/electronic manufacturing,,31000000,http://www.avtronpower.com
543,AXLE LOGISTICS,,,520,Transportation/Trucking/Railroad,,130600000,http://www.axlelogistics.com
545,AZZUR,,,201-500,Pharmaceutical Manufacturing,,$84.5M,http://www.azzur.com
548,B&P LITTLEFORD,,,201-500,Machinery Manufacturing,,66M,http://www.bplittleford.com
553,BADGER COLOR CONCENTRATES,,Wisconsin,81,plastics,,$32.0M,badgercolor.com
555,BAE INDUSTRIES,,,201-500,Motor Vehicle Manufacturing,,45984000,http://www.baeind.com
560,BAERS FURNITURE,,,360,Furniture,,185000000,http://www.baers.com
562,BALANCE TECHNOLOGY INC (BTI),,Michigan,96,machinery,,25000000,balancetechnology.com
572,"BANDIT INDUSTRIES, INC.",,Michigan,210,machinery,,300000000,banditchippers.com
574,BANNER ENGINEERING,,,970,Automation Machinery Manufacturing,,349999000,bannerengineering.com
580,BARD MANUFACTURING COMPANY,,,201-500,Industrial Machinery Manufacturing,,60.2M,http://www.bardhvac.com
582,BARGAIN HUNT,,,660,Retail,,450000000,http://www.bargainhunt.com
584,BASCO,,,201-500,Consumer Goods,,85M,http://www.bascoshowerdoor.com
591,BASIC FUN!,,,51-200,Manufacturing,,64.6M,http://www.basicfun.com
593,BASSETT MECHANICAL,,,201-500,Industrial Machinery Manufacturing,,$81M,http://www.bassettmechanical.com
595,BATTLE MOTORS,,,51-200,Motor Vehicle Manufacturing,,59.2M,https://battlemotors.com
597,BAUER BUILT INC.,,,"501-1,000",Truck Transportation,,120M,http://www.bauerbuilt.com
605,BECKER FURNITURE,,,130,Furniture and Home Furnishings Manufacturing,,68500000,beckerfurniture.com
607,BECKETT THERMAL SOLUTIONS,,,"501-1,000",Industrial Machinery Manufacturing,,43.4M,http://BeckettThermal.com
612,BEDFORD INDUSTRIES,,,170,Packaging & Containers,,81700000,bedford.com
614,BEHLER-YOUNG,,,201-500,Wholesale,,14.6M,https://www.behler-young.com/
616,BELGIOIOSO CHEESE INC.,,,"501-1,000",Dairy Product Manufacturing,,100M,http://www.belgioioso.com
618,BELL INTERNATIONAL LABORATORIES,,,67,"health, wellness & fitness",,63400000,bellintlabs.com
620,BELL LABORATORIES,,Wisconsin,160,Mechanical Or Industrial Engineering,,94800000,belllabs.com
625,"BELL LABORATORIES, INC.",,,201-500,Manufacturing,,$93.7M,http://www.belllabs.com
627,BELMARK INC,,,"1,001-5,000",Printing Services,,34.7M,http://www.belmark.com
631,BEMIS MANUFACTURING COMPANY,,,"1,001-5,000",Plastics Manufacturing,,$417.4M,http://www.BemisMfg.com
638,BENORE LOGISTIC,,,430,Transportation/Trucking/Railroad,,75000000,http://www.benorelogistics.com
640,BENSHAW,,,160,electrical/electronic manufacturing,,75000000,http://www.benshaw.com
645,BERGSTROM AUTOMOTIVE,,,"1,001-5,000",Motor Vehicle Manufacturing,,$113.2M,http://www.bergstromauto.com
647,BERK ENTERPRISES,,,51-200,Manufacturing,,69.9M,http://www.BerkBrands.com
650,BESCAST,,,51-200,Industrial Machinery Manufacturing,,32.4M,http://www.bescast.com
652,BESSER,,,201-500,Machinery Manufacturing,,5.8M,http://www.besser.com
657,BEST LIGHTING PRODUCTS,,,51-200,"Appliances, Electrical, and Electronics Manufacturing",,$41.4M,http://www.bestlighting.net/
659,BETCO,,,201-500,Chemical Manufacturing,,47M,https://www.betco.com
661,BETTCHER INDUSTRIES,,,201-500,Food and Beverage Manufacturing,,80M,http://www.bettcher.com
663,BETTER CHOICE COMPANY,,,56,Consumer Goods,,40904000,http://www.betterchoicecompany.com
665,BEVCORP,,,51-200,Machinery Manufacturing,,85M,http://www.bevcorp.com/
668,BGM ENGINEERING INC.,,Michigan,65,electrical/electronic manufacturing,,$25M,bgmeng.com
675,BIDFTA.COM,,,73,Retail,,35000000,http://www.bidfta.com
677,BIG ASS FANS,,,"501-1,000",Industrial Machinery Manufacturing,,300M,http://www.bigassfans.com
683,BIL-JAX,,,51-200,Manufacturing,,97.8M,https://www.biljax.com
685,BIOCOAT,,Pennsylvania,73,medical devices,,31500000,biocoat.com
689,BIRCHWOOD FOODS,,,"501-1,000",Food and Beverage Manufacturing,,$142.6M,http://www.bwfoods.com
692,BIRD,,,180,electrical/electronic manufacturing,,40000000,http://www.birdrf.com
696,BISCO,,,51-200,Medical Equipment Manufacturing,,12.1M,http://www.bisco.com
698,BISON® AN AMETEK® BUSINESS,,,120,electrical/electronic manufacturing,,75000000,http://www.bisonametek.com
707,BLAIR IMAGE ELEMENTS,,Pennsylvania,120,Construction,,$68.4M,blairimage.com
711,BLAKE'S HARD CIDER,,,51-200,Food and Beverage Services,,35.4M,http://blakeshardcider.com
714,BLASTONE INTERNATIONAL,,,201-500,Machinery Manufacturing,,200M,http://www.blastone.com/
717,BLOCK IMAGING,,Michigan,190,medical devices,,25000000,blockimaging.com
719,BLU PRODUCTS,,,201-500,Telecommunications,,345M,http://www.bluproducts.com
725,BLUEFLY,,,54,Retail,,85000000,http://www.bluefly.com
727,BLUEGRACE LOGISTICS,,,740,Transportation/Trucking/Railroad,,195900000,http://www.mybluegrace.com
737,BOGEN COMMUNICATIONS,,,98,electrical/electronic manufacturing,,58460000,http://www.bogen.com
739,BOLLMAN HAT,,,201-500,Textile Manufacturing,,$215.7M,http://www.bollmanhats.com/
742,BOLT EXPRESS,https://www.linkedin.com/company/366949,,178,Transportation/Trucking/Railroad,,100000000,bolt-express.com
750,BOOKS A MILLION,,,2300,Retail,,474100000,http://www.booksamillion.com
752,BOOTS & MORE,,,110,Retail,,25000000,http://www.bootsandmore.net
754,BORROUGHS,,,51-200,"Transportation, Logistics, Supply Chain and Storage",,88M,http://www.borroughs.com
756,"BOSS INDUSTRIES, LLC",,Indiana,68,Machinery Manufacturing,,$75.0M,bossair.com
758,BOSTON PROPER,,,140,Apparel & Fashion,,40295000,http://www.bostonproper.com
760,BOUCHER AUTOMOTIVE GROUP,,,"1,001-5,000",Motor Vehicle Manufacturing,,$185.5M,http://boucher.com
763,BRACCO MEDICAL TECHNOLOGIES,,Minnesota,160,medical devices,,422500000,braccomedtech.com
767,BRADLEY CALDWELL,,,201-500,Wholesale,,39.6M,http://www.bradleycaldwell.com
769,BRADLEY COMPANY,,Wisconsin,380,Building Materials,,225000000,bradleycorp.com
775,BRADLEY CORPORATION,,,"501-1,000",Building Materials,,$176.3M,https://www.bradleycorp.com
777,BRAKE SUPPLY,,Indiana,260,machinery,,36000000,brake.com
779,BRAUN AMBULANCES,,,51-200,Motor Vehicle Manufacturing,,56.3M,http://www.braunambulances.com
781,BRAUNABILITY,,Indiana,650,Automotive,,140000000,braunability.com
785,BRAZEWAY,,,"1,001-5,000",Industrial Machinery Manufacturing,,218.1M,http://www.brazeway.com
789,BRENNAN,,,201-500,Industrial Machinery Manufacturing,,130.4M,https://brennaninc.com
792,BRENTON ENGINEERING,,Minnesota,500,Packaging & Containers,,35000000,brentonengineering.com
794,BREWER COMPANY,,,51-200,Medical Device,,33M,http://www.brewercompany.com
796,BREWSTER CHEESE,,,51-200,Dairy,,111.9M,http://www.brewstercheese.com/
802,BRISKHEAT,,,140,electrical/electronic manufacturing,,85000000,http://www.briskheat.com
804,BROADWAY AUTOMOTIVE,,,"501-1,000",Motor Vehicle Manufacturing,,$37M,http://www.broadwayautomotive.com
808,BROOKS INSTRUMENT,,,"501-1,000",Automation Machinery Manufacturing,,94.5M,http://www.brooksinstrument.com/
810,BROOKVILLE EQUIPMENT,,,201-500,Railroad Equipment Manufacturing,,61.1M,http://www.brookvillecorp.com
812,BROWN JORDAN,,,460,Retail,,292000000,http://www.brownjordaninc.com
814,BRUNK INDUSTRIES,,,201-500,Medical Equipment Manufacturing,,30.2M,https://www.brunk.com/
821,BRUNO INDEPENDENT LIVING AIDS,,,201-500,Manufacturing,,31M,http://www.bruno.com/
825,BSI (BUILDING SERVICE INC.),,,51-200,Furniture and Home Furnishings Manufacturing,,$54.7M,http://www.buildingservice.com
828,BTD MANUFACTURING,,Minnesota,582,mining & metals,,$324.4M,btdmfg.com
836,BUCKEYE CORRUGATED,,,"501-1,000",Packaging and Containers Manufacturing,,77.5M,http://www.bcipkg.com
838,BUDDY'S HOME FURNISHINGS,,,580,Retail,,57407000,http://www.buddyrents.com
840,BUEHLER,,,201-500,Industrial Machinery Manufacturing,,40M,https://www.buehler.com
846,BULLEN ULTRASONICS,,,51-200,Aviation and Aerospace Component Manufacturing,,51.9M,http://www.bullentech.com/
850,BURKE PORTER,,,"1,001-5,000",Machinery Manufacturing,,155000000,http://www.burkeportergroup.com/
855,BURNETT DAIRY COOPERATIVE,,,201-500,Food and Beverage Manufacturing,,$80.3M,https://www.burnettdairy.com/
858,BUTECH BLISS,,,201-500,Machinery Manufacturing,,58.9M,http://www.butechbliss.com
860,BUYERS PRODUCTS,,,201-500,Motor Vehicle Manufacturing,,85.2M,http://www.buyersproducts.com
862,BUZZI UNICEM USA,,Pennsylvania,596,mining & metals,,$352.8M,buzziunicemusa.com
866,BWI,,,"1,001-5,000",Automotive,,220M,https://www.bwigroup.com/
872,C&J INDUSTRIES,,,201-500,Plastics Manufacturing,,57M,http://www.cjindustries.com
874,C&S MACHINE,,Michigan,71,Aviation & Aerospace,,$26.5M,candsmachine.com
876,"C. G. BRETTING MANUFACTURING CO., INC.",,Wisconsin,500,Machinery Manufacturing,,111000000,bretting.com
878,CABINETS TO GO,,,320,Retail,,39599000,http://www.cabinetstogo.com
880,CADILLAC PRODUCTS PACKAGING COMPANY,,Michigan,110,Packaging & Containers,,70800000,cadprod.com
882,CALDWELL TANKS,,Kentucky,200,Construction,,215500000,caldwelltanks.com
890,CALUMET ELECTRONICS,,,120,electrical/electronic manufacturing,,42975000,http://www.calumetelectronics.com
893,CAMACO-AMVIAN,,,"1,001-5,000",Motor Vehicle Manufacturing,,471.1M,http://www.camacollc.com
895,CAMBRIDGE-LEE INDUSTRIES,,,201-500,Mining,,100M,http://www.camlee.com/
897,CAMCO CHEMICAL,,,120,Chemical Manufacturing,,31398000,camco-chem.com
899,CAMPBELL HAUSFELD,,,201-500,Manufacturing,,84M,http://www.campbellhausfeld.com
901,CAMPERS INN RV,,,510,Retail,,47000000,http://www.campersinn.com
903,CANBERRA,,,51-200,Chemical Manufacturing,,31.9M,http://www.canberracorp.com
905,CANDLE-LITE COMPANY,,,180,Consumer Goods,,50275000,http://www.candle-lite.com
907,CANTON DROP FORGE,,,51-200,Machinery Manufacturing,,200M,http://www.cantondropforge.com
919,CAPITAL RESIN CORPORATION,,,51-200,Chemical Manufacturing,,$34.1M,http://www.capitalresin.com/
921,"CAPS® (CENTRAL ADMIXTURE PHARMACY SERVICES, INC.)",,Pennsylvania,340,Pharmaceuticals,,28100000,capspharmacy.com
923,CAPSA HEALTHCARE,,,"501-1,000",Medical Equipment Manufacturing,,$79.3M,http://www.capsahealthcare.com
925,CAR KEYS EXPRESS,,Kentucky,120,Automotive,,107500000,carkeysexpress.com
935,CARDONE INDUSTRIES,,Pennsylvania,870,Automotive,,514400000,cardone.com
941,"CARMA LABORATORIES, INC.",,,201-500,Manufacturing,,$55.2M,http://www.mycarmex.com
946,CARNEGIE ROBOTICS,,,51-200,Automation Machinery Manufacturing,,151.3M,http://carnegierobotics.com
954,CARRIER VIBRATING EQUIPMENT,,,86,Industrial Machinery Manufacturing,,32000000,carriervibrating.com
956,"CARTER DAY INTERNATIONAL, INC.",,Minnesota,52,Machinery Manufacturing,,$25.8M,carterday.com
958,CARTON SERVICE CSI,,,201-500,Packaging and Containers Manufacturing,,40.2M,http://www.cartonservice.com
964,CASCADE DIE CASTING,,,201-500,Automotive,,117.4M,http://cascade-cdc.com
966,CAST NYLONS LIMITED,,,51-200,Plastics Manufacturing,,54M,http://www.castnylon.com
974,CATTRON GLOBAL,,,52,electrical/electronic manufacturing,,37500000,http://www.cattron.com
976,CBT,,,201-500,Industrial Machinery Manufacturing,,186M,https://cbtcompany.com
978,CEI NETWORK,,,201-500,Motor Vehicle Manufacturing,,120M,http://www.ceinetwork.com
980,CEIA USA,,,51-200,"Appliances, Electrical, and Electronics Manufacturing",,32M,http://www.ceia-usa.com
984,CELISTICS,,,800,logistics & supply chain,,31006000,http://www.celistics.com
986,CENTRAL HOME BRANDS,,,"501-1,000",Manufacturing,,75M,http://www.ardencompanies.com
995,CENTRAL MCGOWAN,,Minnesota,54,Industrial Automation,,$32.6M,centralmcgowan.com
1005,CENTRAL PACKAGE & DISPLAY,,Minnesota,65,Packaging & Containers,,25400000,centralpackage.com
1012,CERROWIRE,,,330,electrical/electronic manufacturing,,151448000,http://www.cerrowire.com
1014,CHALLENGE MANUFACTURING,,,"1,001-5,000",Motor Vehicle Manufacturing,,300M,http://www.challenge-mfg.com
1017,CHANDLER INDUSTRIES,,,160,Aviation and Aerospace Component Manufacturing,,83400000,chandlerindustries.com
1023,"CHANNELLOCK, INC.",,Pennsylvania,120,Mechanical Or Industrial Engineering,,25000000,channellock.com
1029,CHAUVET,,,201-500,"Appliances, Electrical, and Electronics Manufacturing",,122.5M,http://www.chauvetlighting.com
1031,CHEMDESIGN,,,200,Chemical Manufacturing,,30000000,chemdesign.com
1033,CHEMSTATION,,,201-500,Chemical Manufacturing,,46.4M,http://www.chemstation.com/about/
1035,CHEM-TREND,,,"501-1,000",Chemical Manufacturing,,37.9M,http://www.chemtrend.com
1042,CHROMALOX,,,"1,001-5,000","Appliances, Electrical, and Electronics Manufacturing",,250M,http://www.chromalox.com/
1045,CHROMASCAPE,,,51-200,Chemical Manufacturing,,64M,http://www.chromascape.com
1051,CINCINNATI,,,201-500,Machinery Manufacturing,,40.1M,http://www.e-ci.com
1060,CIRTEC MEDICAL,,Minnesota,630,medical devices,,40000000,cirtecmed.com
1064,CITY BREWING COMPANY,,,"1,001-5,000",Beverage Manufacturing,,$279.5M,http://www.citybrewery.com
1067,CITY FURNITURE,,,1500,Retail,,531800000,http://www.cityfurniture.com
1081,CLARIENCE,,,"1,001-5,000","Appliances, Electrical, and Electronics Manufacturing",,473.8M,http://www.clariencetechnologies.com
1084,"CLARION TECHNOLOGIES, INC.",,,68,plastics,,145515000,clariontechnologies.com
1086,CLARK FIXTURES,,,51-200,Aviation and Aerospace Component Manufacturing,,42.9M,http://www.clarkfixtures.com
1088,CLARK OIL,,,90,Retail,,50756000,http://www.clark-oil.com
1090,CLASEN QUALITY CHOCOLATE,,,201-500,Food Production,,75M,http://www.cqc.com
1092,"CLASSIC TURNING, INC.",,,51,Aviation and Aerospace Component Manufacturing,,32744000,classicturning.com
1094,CLEAR ALIGN,,,80,Defense and Space Manufacturing,,55038000,clearalign.com
1098,CLEARY BUILDING,,Wisconsin,390,Construction,,$97.3M,clearybuilding.com
1103,CLEVELAND STEEL CONTAINER,,,201-500,Packaging and Containers Manufacturing,,77.4M,http://www.cscpails.com
1107,CLIMATECH,,Minnesota,100,plastics,,$30.6M,clim-a-tech.com
1109,CLIPPARD INSTRUMENT LABORATORY,,,201-500,Manufacturing,,39.6M,https://clippard.com
1115,CMC,,,201-500,Printing Services,,50.1M,http://www.cmcgp.com
1117,CME WIRE AND CABLE,,,93,electrical/electronic manufacturing,,49455000,http://www.cmewire.com
1119,COASTAL AUTOMOTIVE,,,51-200,Automotive,,117.4M,http://www.coastal-automotive.com
1122,COASTAL CONSTRUCTION PRODUCTS,,,51-200,Construction,,250M,https://CoastalOne.com
1124,COASTAL CONTAINER,,Michigan,67,Packaging & Containers,,$25.0M,coastal-container.com
1128,COASTAL PET PRODUCTS,,,"501-1,000",Consumer Goods,,50M,http://www.coastalpet.com
1130,COATING PLACE INC.,,,51-200,Pharmaceutical Manufacturing,,$57.9M,http://www.coatingplace.com
